"Census divisions (CDs) - Geographies which exclude National Household Survey data for one or more incompletely enumerated Indian reserves or Indian settlements"
"Geo_Code","Geo_Name"
"2423","Québec"
"2467","Roussillon"
"2469","Le Haut-Saint-Laurent"
"2472","Deux-Montagnes"
"2478","Les Laurentides"
"2483","La Vallée-de-la-Gatineau"
"2495","La Haute-Côte-Nord"
"3501","Stormont, Dundas and Glengarry"
"3538","Lambton"
"3544","Muskoka"
"3548","Nipissing"
"3556","Cochrane"
"3557","Algoma"
"3560","Kenora"
"4613","Division No. 13"
"4619","Division No. 19"
"4714","Division No. 14"
"4717","Division No. 17"
"4812","Division No. 12"
"5917","Capital"
