"","Geo_Code","Prov_Name","CD_Name","Geo_Type","GNR","Average_income","Median_income","Total_income"
"1","2401","Quebec","Les Îles-de-la-Madeleine","Territoire équivalent",41,28796,24819,10965
"2","2402","Quebec","Le Rocher-Percé","Municipalité régionale de comté",28.3,25940,20301,15740
"3","2403","Quebec","La Côte-de-Gaspé","Municipalité régionale de comté",24.6,31981,27461,15170
"4","2404","Quebec","La Haute-Gaspésie","Municipalité régionale de comté",21.8,27970,21480,10275
"5","2405","Quebec","Bonaventure","Municipalité régionale de comté",35.7,29448,23625,15400
"6","2406","Quebec","Avignon","Municipalité régionale de comté",27.2,28174,23070,12420
"7","2407","Quebec","La Matapédia","Municipalité régionale de comté",38.1,27481,22253,15370
"8","2408","Quebec","Matane","Municipalité régionale de comté",23.6,29895,23994,18670
"9","2409","Quebec","La Mitis","Municipalité régionale de comté",43.5,28183,22714,15450
"10","2410","Quebec","Rimouski-Neigette","Municipalité régionale de comté",24.3,34194,28082,45450
"11","2411","Quebec","Les Basques","Municipalité régionale de comté",27.6,27799,22170,7670
"12","2412","Quebec","Rivière-du-Loup","Municipalité régionale de comté",28.4,32990,27465,27660
"13","2413","Quebec","Témiscouata","Municipalité régionale de comté",24.8,27572,22787,16890
"14","2414","Quebec","Kamouraska","Municipalité régionale de comté",32.4,29735,25107,17400
"15","2415","Quebec","Charlevoix-Est","Municipalité régionale de comté",21.6,31067,25623,13585
"16","2416","Quebec","Charlevoix","Municipalité régionale de comté",25.1,32144,25716,11235
"17","2417","Quebec","L'Islet","Municipalité régionale de comté",25.3,29101,25149,15490
"18","2418","Quebec","Montmagny","Municipalité régionale de comté",22.2,29311,23815,19160
"19","2419","Quebec","Bellechasse","Municipalité régionale de comté",28,32447,28327,28525
"20","2420","Quebec","L'Île-d'Orléans","Municipalité régionale de comté",43.8,42759,32855,5640
"21","2421","Quebec","La Côte-de-Beaupré","Municipalité régionale de comté",29.1,37784,32552,21185
"22","2422","Quebec","La Jacques-Cartier","Municipalité régionale de comté",33.1,44594,39176,28415
