"","Geo_Code","obs_totalpop","mean_obs_per_observer","observer_totalpop","taxa","totalpop_rank","totalpop_rank2","totalpop_rank3","Rank"
"94",2495,0.011727842435094,8.1875,0.00143240823634736,"birds",1,14,1,16
"2",2402,0.00168255748738082,2.30769230769231,0.000729108244531688,"birds",9,47,2,58
"81",2482,0.00583071420830172,8.67741935483871,0.000671941042592392,"birds",2,12,3,17
"20",2420,0.00519480519480519,8.5,0.000611153552330023,"birds",3,13,4,20
"4",2404,0.000683176771989752,1.14285714285714,0.000597779675491033,"birds",31,77,5,113
"21",2421,0.00372475985100961,6.33333333333333,0.000588119976475201,"birds",4,16,6,26
"15",2415,0.000757814966845595,1.5,0.000505209977897064,"birds",27,66,7,100
"79",2480,0.00140877073392411,2.81818181818182,0.000499886389456942,"birds",15,38,8,61
"83",2484,0.0014149274849664,2.85714285714286,0.000495224619738238,"birds",14,37,9,60
"16",2416,0.00162916989914663,3.5,0.000465477114041893,"birds",10,30,10,50
"45",2446,0.0027966881324747,7.23809523809524,0.000386384544618215,"birds",5,15,11,31
"44",2445,0.000840071406069516,2.35294117647059,0.000357030347579544,"birds",25,45,12,82
"97",2498,0.000780234070221066,2.25,0.000346770697876029,"birds",26,49,13,88
"82",2483,0.00182987141444115,5.28571428571429,0.000346191889218595,"birds",8,19,14,41
"61",2462,0.00162702090412934,4.9375,0.000329523221089486,"birds",11,21,15,47
"76",2477,0.000729559748427673,2.23076923076923,0.000327044025157233,"birds",28,50,16,94
"75",2476,0.00070041388092964,2.2,0.000318369945877109,"birds",30,52,17,99
"77",2478,0.000656702898550725,2.23076923076923,0.000294384057971015,"birds",32,51,18,101
"68",2469,0.000478812544888676,1.66666666666667,0.000287287526933206,"birds",38,64,19,121
"40",2441,0.000969305331179321,3.5,0.000276944380336949,"birds",20,31,20,71
"49",2450,0.000589970501474926,2.16666666666667,0.000272294077603812,"birds",35,53,21,109
"43",2444,0.00032353734160151,1.2,0.000269614451334592,"birds",45,75,22,142
"14",2414,0.00273504273504274,11.2,0.000244200244200244,"birds",6,10,23,39
"29",2430,0.000879833294744154,3.8,0.000231535077564251,"birds",23,29,24,76
"11",2411,0.000343642611683849,1.5,0.000229095074455899,"birds",43,67,25,135
"3",2403,0.00142694063926941,6.25,0.000228310502283105,"birds",13,17,26,56
"17",2417,0.000554170130229981,2.5,0.000221668052091992,"birds",37,43,27,107
"22",2422,0.0010660106601066,4.875,0.0002186688533552,"birds",17,22,28,67
"12",2412,0.000458365164247517,2.5,0.000183346065699007,"birds",39,44,29,112
"56",2457,0.000871042201994687,4.76190476190476,0.000182918862418884,"birds",24,23,30,77
"5",2405,0.000455970361926475,2.66666666666667,0.000170988885722428,"birds",40,40,31,111
"10",2410,0.0003584229390681,2.11111111111111,0.000169779286926995,"birds",42,54,32,128
"50",2451,0.000169491525423729,1,0.000169491525423729,"birds",54,78,33,165
"9",2409,0.00021978021978022,1.33333333333333,0.000164835164835165,"birds",51,71,34,156
"67",2468,0.000156219488381176,1,0.000156219488381176,"birds",63,79,35,177
"13",2413,0.000200803212851406,1.33333333333333,0.000150602409638554,"birds",53,72,36,161
"35",2436,0.000291454148017071,2,0.000145727074008535,"birds",48,56,37,141
"73",2474,0.000240384615384615,1.66666666666667,0.000144230769230769,"birds",50,65,38,153
"98",2499,0.00158056145317292,11.1666666666667,0.000141542816702052,"birds",12,11,39,62
"80",2481,0.00057706271257691,4.19444444444444,0.000137577865250124,"birds",36,26,40,102
"6",2406,0.00013527223537369,1,0.00013527223537369,"birds",67,80,41,188
"89",2490,0.000603419376466644,4.5,0.000134093194770365,"birds",34,24,42,100
"70",2471,0.000268349289237018,2.05555555555556,0.000130548302872063,"birds",49,55,43,147
"90",2491,0.000161603102779573,1.25,0.000129282482223659,"birds",57,74,44,175
"19",2419,0.00032130860230758,2.75,0.000116839491748211,"birds",46,39,45,130
"71",2472,0.000158595897652781,1.36363636363636,0.000116303658278706,"birds",60,70,46,176
"55",2456,0.00139006460236133,12,0.000115838716863444,"birds",16,8,47,71
"37",2438,0.000102511532547412,1,0.000102511532547412,"birds",74,81,48,203
"69",2470,0.000115990057995029,1.16666666666667,9.94200497100249e-05,"birds",69,76,49,194
"74",2475,0.00230292294065545,23.6363636363636,9.74313551815766e-05,"birds",7,2,50,59
"66",2467,0.000161908023788025,1.73333333333333,9.34084752623221e-05,"birds",56,62,51,169
"62",2463,8.38047349675257e-05,1,8.38047349675257e-05,"birds",79,82,52,213
"33",2434,0.000998751560549313,12,8.32292967124428e-05,"birds",19,9,53,81
"1",2401,0.000159362549800797,2,7.96812749003984e-05,"birds",59,57,54,170
"34",2435,0.000158290462999604,2,7.91452314998021e-05,"birds",61,58,55,174
"96",2497,0.00015390534821085,2,7.69526741054252e-05,"birds",64,59,56,179
"88",2489,0.000214005469028653,3,7.13351563428843e-05,"birds",52,33,57,142
"39",2440,7.09219858156028e-05,1,7.09219858156028e-05,"birds",82,83,58,223
"32",2433,0.000933125972006221,13.5,6.91204423708312e-05,"birds",21,7,59,87
"41",2442,0.000103323574995695,1.5,6.88823833304632e-05,"birds",73,68,60,201
"65",2466,0.000297641637300081,4.42741935483871,6.72268907563025e-05,"birds",47,25,61,133
"47",2448,6.6711140760507e-05,1,6.6711140760507e-05,"birds",83,84,62,229
"95",2496,9.58619587793577e-05,1.5,6.39079725195718e-05,"birds",77,69,63,209
"84",2485,6.1652281134402e-05,1,6.1652281134402e-05,"birds",84,85,64,233
"52",2453,0.000140930138916851,2.33333333333333,6.03986309643648e-05,"birds",66,46,65,177
"46",2447,0.000928549894482967,15.4,6.02954476936991e-05,"birds",22,5,66,93
"27",2428,6.00600600600601e-05,1,6.00600600600601e-05,"birds",85,86,67,238
"38",2439,0.000103980986333928,1.75,5.941770647653e-05,"birds",72,61,68,201
"92",2493,0.0003324208056316,5.66666666666667,5.86624951114587e-05,"birds",44,18,69,131
"78",2479,5.8633831720903e-05,1,5.8633831720903e-05,"birds",86,87,70,243
"57",2458,0.000150018434468642,2.56521739130435,5.84817625894707e-05,"birds",65,42,71,178
"54",2455,5.76701268742791e-05,1,5.76701268742791e-05,"birds",87,88,72,247
"7",2407,0.000110619469026549,2,5.53097345132743e-05,"birds",71,60,73,204
"26",2427,0.000159744408945687,3,5.3248136315229e-05,"birds",58,34,74,166
"24",2425,0.000132513711488203,2.57142857142857,5.15331100231899e-05,"birds",68,41,75,184
"53",2454,4.88639139995114e-05,1,4.88639139995114e-05,"birds",89,89,76,254
"86",2487,4.8661800486618e-05,1,4.8661800486618e-05,"birds",90,90,77,257
"23",2423,0.00106019247431036,21.8846153846154,4.84446473322837e-05,"birds",18,3,78,99
"8",2408,4.69043151969981e-05,1,4.69043151969981e-05,"birds",91,91,79,261
"42",2443,7.9864230807627e-05,1.71428571428571,4.65874679711158e-05,"birds",80,63,80,223
"18",2418,4.49236298292902e-05,1,4.49236298292902e-05,"birds",92,92,81,265
"31",2432,0.000616740088105727,14,4.40528634361234e-05,"birds",33,6,82,121
"93",2494,9.8988461657438e-05,2.28571428571429,4.33074519751291e-05,"birds",75,48,83,206
"87",2488,4.20786871449611e-05,1,4.20786871449611e-05,"birds",93,93,84,270
"91",2492,4.0983606557377e-05,1,4.0983606557377e-05,"birds",94,94,85,273
"58",2459,5.44959128065395e-05,1.33333333333333,4.08719346049046e-05,"birds",88,73,86,247
"72",2473,0.000165469768673263,4.16666666666667,3.97127444815832e-05,"birds",55,27,87,169
"36",2437,0.000110718981385371,3.2,3.45996816829285e-05,"birds",70,32,88,190
"48",2449,0.00015645371577575,5,3.12907431551499e-05,"birds",62,20,89,171
"64",2465,8.91208861162391e-05,2.91666666666667,3.05557323827105e-05,"birds",78,36,90,204
"25",2426,0.000723903286520921,25,2.89561314608368e-05,"birds",29,1,91,121
"59",2460,7.58469576942525e-05,3,2.52823192314175e-05,"birds",81,35,92,208
"85",2486,2.50093785169439e-05,1,2.50093785169439e-05,"birds",95,95,93,283
"51",2452,9.78712992414974e-05,4,2.44678248103744e-05,"birds",76,28,94,198
"30",2431,0.000408801250450884,17,2.40471323794638e-05,"birds",41,4,95,140
"28",2429,2.00380723374411e-05,1,2.00380723374411e-05,"birds",96,96,96,288
"60",2461,1.6214025131739e-05,1,1.6214025131739e-05,"birds",97,97,97,291
"63",2464,6.78035054412313e-06,1,6.78035054412313e-06,"birds",98,98,98,294
"201",2420,0.000152788388082506,1,0.000152788388082506,"fungi",13,28,1,42
"771",2478,0.00036231884057971,2.66666666666667,0.000135869565217391,"fungi",6,17,2,25
"811",2482,0.00151728622520863,11.6666666666667,0.000130053105017882,"fungi",2,5,3,10
"111",2411,0.00011454753722795,1,0.00011454753722795,"fungi",18,29,4,51
"310",2403,0.000342465753424658,3,0.000114155251141553,"fungi",7,13,5,25
"821",2483,0.00029673590504451,3,9.89119683481701e-05,"fungi",8,14,6,28
"681",2469,0.000287287526933206,3,9.57625089777352e-05,"fungi",9,15,7,31
"941",2495,8.95255147717099e-05,1,8.95255147717099e-05,"fungi",21,30,8,59
"971",2498,8.66926744690074e-05,1,8.66926744690074e-05,"fungi",22,31,9,62
"410",2404,8.5397096498719e-05,1,8.5397096498719e-05,"fungi",23,32,10,65
"110",2401,7.96812749003984e-05,1,7.96812749003984e-05,"fungi",24,33,11,68
"341",2435,7.91452314998021e-05,1,7.91452314998021e-05,"fungi",25,34,12,71
"161",2416,7.75795190069822e-05,1,7.75795190069822e-05,"fungi",26,35,13,74
"391",2440,7.09219858156028e-05,1,7.09219858156028e-05,"fungi",27,36,14,77
"831",2484,0.00014149274849664,2,7.07463742483198e-05,"fungi",16,18,15,49
"610",2406,0.00013527223537369,2,6.76361176868448e-05,"fungi",17,19,16,52
"891",2490,6.70465973851827e-05,1,6.70465973851827e-05,"fungi",28,37,17,82
"471",2448,6.6711140760507e-05,1,6.6711140760507e-05,"fungi",29,38,18,85
"151",2415,6.31512472371329e-05,1,6.31512472371329e-05,"fungi",30,39,19,88
"841",2485,6.1652281134402e-05,1,6.1652281134402e-05,"fungi",31,40,20,91
"271",2428,6.00600600600601e-05,1,6.00600600600601e-05,"fungi",32,41,21,94
"510",2405,5.69962952408093e-05,1,5.69962952408093e-05,"fungi",33,42,22,97
"210",2402,5.60852495793606e-05,1,5.60852495793606e-05,"fungi",34,43,23,100
"171",2417,5.54170130229981e-05,1,5.54170130229981e-05,"fungi",35,44,24,103
"710",2407,5.53097345132743e-05,1,5.53097345132743e-05,"fungi",36,45,25,106
"99",2409,5.49450549450549e-05,1,5.49450549450549e-05,"fungi",37,46,26,109
