"CDUID","obs_totalpop","mean_obs_per_observer","stderror","observer_totalpop","tot_nb_obs","taxa"
"2401",7.96812749003984e-05,1,NA,7.96812749003984e-05,1,"fish"
"2402",5.60852495793606e-05,1,NA,5.60852495793606e-05,1,"fish"
"2403",5.70776255707763e-05,1,NA,5.70776255707763e-05,1,"fish"
"2404",8.5397096498719e-05,1,NA,8.5397096498719e-05,1,"fish"
"2405",5.69962952408093e-05,1,NA,5.69962952408093e-05,1,"fish"
"2406",6.76361176868448e-05,1,NA,6.76361176868448e-05,1,"fish"
"2407",5.53097345132743e-05,1,NA,5.53097345132743e-05,1,"fish"
"2408",4.69043151969981e-05,1,NA,4.69043151969981e-05,1,"fish"
"2409",5.49450549450549e-05,1,NA,5.49450549450549e-05,1,"fish"
"2410",1.88643652141105e-05,1,NA,1.88643652141105e-05,1,"fish"
"2411",0.00011454753722795,1,NA,0.00011454753722795,1,"fish"
"2412",3.05576776165011e-05,1,NA,3.05576776165011e-05,1,"fish"
"2413",5.02008032128514e-05,1,NA,5.02008032128514e-05,1,"fish"
"2414",4.88400488400488e-05,1,NA,4.88400488400488e-05,1,"fish"
"2415",6.31512472371329e-05,1,NA,6.31512472371329e-05,1,"fish"
"2416",7.75795190069822e-05,1,NA,7.75795190069822e-05,1,"fish"
"2417",5.54170130229981e-05,1,NA,5.54170130229981e-05,1,"fish"
"2418",4.49236298292902e-05,1,NA,4.49236298292902e-05,1,"fish"
"2419",2.92098729370527e-05,1,NA,2.92098729370527e-05,1,"fish"
"2420",0.000152788388082506,1,NA,0.000152788388082506,1,"fish"
"2421",3.92079984316801e-05,1,NA,3.92079984316801e-05,1,"fish"
"2422",2.73336066694e-05,1,NA,2.73336066694e-05,1,"fish"
"2423",7.45302266650518e-06,1,0,7.45302266650518e-06,4,"fish"
"2425",7.3618728604557e-06,1,NA,7.3618728604557e-06,1,"fish"
"2426",2.89561314608368e-05,1,NA,2.89561314608368e-05,1,"fish"
"2427",5.3248136315229e-05,1,NA,5.3248136315229e-05,1,"fish"
"2428",6.00600600600601e-05,1,NA,6.00600600600601e-05,1,"fish"
"2429",2.00380723374411e-05,1,NA,2.00380723374411e-05,1,"fish"
"2430",4.63070155128502e-05,1,NA,4.63070155128502e-05,1,"fish"
"2431",0.000120235661897319,5,NA,2.40471323794638e-05,5,"fish"
"2432",4.40528634361234e-05,1,NA,4.40528634361234e-05,1,"fish"
"2433",0.000138240884741662,4,NA,3.45602211854156e-05,4,"fish"
"2434",2.08073241781107e-05,1,NA,2.08073241781107e-05,1,"fish"
"2435",7.91452314998021e-05,1,NA,7.91452314998021e-05,1,"fish"
