"CDUID","obs_totalpop","mean_obs_per_observer","observer_totalpop","taxa"
"2401",7.96812749003984e-05,1,7.96812749003984e-05,"fungi"
"2402",5.60852495793606e-05,1,5.60852495793606e-05,"fungi"
"2403",0.000342465753424658,3,0.000114155251141553,"fungi"
"2404",8.5397096498719e-05,1,8.5397096498719e-05,"fungi"
"2405",5.69962952408093e-05,1,5.69962952408093e-05,"fungi"
"2406",0.00013527223537369,2,6.76361176868448e-05,"fungi"
"2407",5.53097345132743e-05,1,5.53097345132743e-05,"fungi"
"2408",4.69043151969981e-05,1,4.69043151969981e-05,"fungi"
"2409",5.49450549450549e-05,1,5.49450549450549e-05,"fungi"
"2410",1.88643652141105e-05,1,1.88643652141105e-05,"fungi"
"2411",0.00011454753722795,1,0.00011454753722795,"fungi"
"2412",3.05576776165011e-05,1,3.05576776165011e-05,"fungi"
"2413",5.02008032128514e-05,1,5.02008032128514e-05,"fungi"
"2414",4.88400488400488e-05,1,4.88400488400488e-05,"fungi"
"2415",6.31512472371329e-05,1,6.31512472371329e-05,"fungi"
"2416",7.75795190069822e-05,1,7.75795190069822e-05,"fungi"
"2417",5.54170130229981e-05,1,5.54170130229981e-05,"fungi"
"2418",4.49236298292902e-05,1,4.49236298292902e-05,"fungi"
"2419",2.92098729370527e-05,1,2.92098729370527e-05,"fungi"
"2420",0.000152788388082506,1,0.000152788388082506,"fungi"
"2421",3.92079984316801e-05,1,3.92079984316801e-05,"fungi"
"2422",2.73336066694e-05,1,2.73336066694e-05,"fungi"
"2423",1.49060453330104e-05,2,7.45302266650518e-06,"fungi"
"2425",7.3618728604557e-06,1,7.3618728604557e-06,"fungi"
"2426",2.89561314608368e-05,1,2.89561314608368e-05,"fungi"
"2427",5.3248136315229e-05,1,5.3248136315229e-05,"fungi"
"2428",6.00600600600601e-05,1,6.00600600600601e-05,"fungi"
"2429",2.00380723374411e-05,1,2.00380723374411e-05,"fungi"
"2430",0.0010187543412827,22,4.63070155128502e-05,"fungi"
"2431",2.40471323794638e-05,1,2.40471323794638e-05,"fungi"
"2432",4.40528634361234e-05,1,4.40528634361234e-05,"fungi"
"2433",3.45602211854156e-05,1,3.45602211854156e-05,"fungi"
"2434",2.08073241781107e-05,1,2.08073241781107e-05,"fungi"
"2435",7.91452314998021e-05,1,7.91452314998021e-05,"fungi"
"2436",4.16363068595816e-05,2,2.08181534297908e-05,"fungi"
"2437",1.38398726731714e-05,2,6.9199363365857e-06,"fungi"
"2438",5.12557662737058e-05,1,5.12557662737058e-05,"fungi"
"2439",1.48544266191325e-05,1,1.48544266191325e-05,"fungi"
"2440",7.09219858156028e-05,1,7.09219858156028e-05,"fungi"
"2441",9.23147934456497e-05,2,4.61573967228248e-05,"fungi"
"2442",3.44411916652316e-05,1,3.44411916652316e-05,"fungi"
"2443",5.3242820538418e-05,4,1.33107051346045e-05,"fungi"
"2444",0.000107845780533837,2,5.39228902669183e-05,"fungi"
"2445",2.10017851517379e-05,1,2.10017851517379e-05,"fungi"
"2446",0.000147194112235511,4,3.67985280588776e-05,"fungi"
"2447",1.20590895387398e-05,1,1.20590895387398e-05,"fungi"
"2448",6.6711140760507e-05,1,6.6711140760507e-05,"fungi"
"2449",1.04302477183833e-05,1,1.04302477183833e-05,"fungi"
"2450",4.5382346267302e-05,1,4.5382346267302e-05,"fungi"
"2451",2.82485875706215e-05,1,2.82485875706215e-05,"fungi"
"2452",2.44678248103744e-05,1,2.44678248103744e-05,"fungi"
"2453",2.01328769881216e-05,1,2.01328769881216e-05,"fungi"
"2454",1.22159784998778e-05,1,1.22159784998778e-05,"fungi"
"2455",2.88350634371396e-05,1,2.88350634371396e-05,"fungi"
"2456",5.34640231677434e-05,6,8.91067052795723e-06,"fungi"
"2457",1.74208440398937e-05,2,8.71042201994687e-06,"fungi"
"2458",1.52561119798619e-05,6,2.54268532997699e-06,"fungi"
"2459",1.36239782016349e-05,1,1.36239782016349e-05,"fungi"
"2460",8.42743974380583e-06,1,8.42743974380583e-06,"fungi"
"2461",1.6214025131739e-05,1,1.6214025131739e-05,"fungi"
"2462",4.11904026361858e-05,2,2.05952013180929e-05,"fungi"
"2463",2.09511837418814e-05,1,2.09511837418814e-05,"fungi"
"2464",6.78035054412313e-06,1,6.78035054412313e-06,"fungi"
"2465",2.54631103189255e-06,1,2.54631103189255e-06,"fungi"
"2466",5.42152344808891e-07,1,5.42152344808891e-07,"fungi"
"2467",6.22723168415481e-06,1,6.22723168415481e-06,"fungi"
"2468",3.90548720952939e-05,1,3.90548720952939e-05,"fungi"
"2469",0.000287287526933206,3,9.57625089777352e-05,"fungi"
"2470",1.65700082850041e-05,1,1.65700082850041e-05,"fungi"
"2471",7.25268349289237e-06,1,7.25268349289237e-06,"fungi"
"2472",1.05730598435187e-05,1,1.05730598435187e-05,"fungi"
"2473",6.61879074693054e-06,1,6.61879074693054e-06,"fungi"
"2474",0.000192307692307692,8,2.40384615384615e-05,"fungi"
"2475",1.77147918511957e-05,2,8.85739592559787e-06,"fungi"
"2476",0.00382043935052531,120,3.18369945877109e-05,"fungi"
"2477",0.000150943396226415,3,5.0314465408805e-05,"fungi"
"2478",0.00036231884057971,2.66666666666667,0.000135869565217391,"fungi"
"2479",2.93169158604515e-05,1,2.93169158604515e-05,"fungi"
"2480",0.00081799591002045,18,4.54442172233583e-05,"fungi"
"2481",0.000160507509458478,7,2.2929644208354e-05,"fungi"
"2482",0.00151728622520863,11.6666666666667,0.000130053105017882,"fungi"
"2483",0.00029673590504451,3,9.89119683481701e-05,"fungi"
"2484",0.00014149274849664,2,7.07463742483198e-05,"fungi"
"2485",6.1652281134402e-05,1,6.1652281134402e-05,"fungi"
"2486",2.50093785169439e-05,1,2.50093785169439e-05,"fungi"
"2487",4.8661800486618e-05,1,4.8661800486618e-05,"fungi"
"2488",4.20786871449611e-05,1,4.20786871449611e-05,"fungi"
"2489",2.37783854476281e-05,1,2.37783854476281e-05,"fungi"
"2490",6.70465973851827e-05,1,6.70465973851827e-05,"fungi"
"2491",3.23206205559147e-05,1,3.23206205559147e-05,"fungi"
"2492",0.000163934426229508,4,4.0983606557377e-05,"fungi"
"2493",1.95541650371529e-05,1,1.95541650371529e-05,"fungi"
"2494",6.18677885358988e-06,1,6.18677885358988e-06,"fungi"
"2495",8.95255147717099e-05,1,8.95255147717099e-05,"fungi"
"2496",3.19539862597859e-05,1,3.19539862597859e-05,"fungi"
"2497",2.56508913684751e-05,1,2.56508913684751e-05,"fungi"
"2498",8.66926744690074e-05,1,8.66926744690074e-05,"fungi"
"2499",0.000518990327907525,22,2.35904694503421e-05,"fungi"
