"CDUID","obs_totalpop","mean_obs_per_observer","stderror","observer_totalpop","taxa"
"2401",0.000557768924302789,2.33333333333333,0.666666666666667,0.000239043824701195,"insects"
"2402",0.0643297812675266,163.857142857143,121.713642967228,0.000392596747055524,"insects"
"2403",0.000856164383561644,1.25,0.130558241966773,0.000684931506849315,"insects"
"2404",0.00102476515798463,1.5,0.327326835353989,0.000683176771989752,"insects"
"2405",0.00125391849529781,7.33333333333333,5.84047182264508,0.000170988885722428,"insects"
"2406",0.000405816706121069,1.5,0.288675134594813,0.000270544470747379,"insects"
"2407",0.000442477876106195,2,0.707106781186548,0.000221238938053097,"insects"
"2408",0.00201688555347092,14.3333333333333,12.8365796759798,0.000140712945590994,"insects"
"2409",0.0482967032967033,146.5,67.2179291558435,0.00032967032967033,"insects"
"2410",0.00809281267685342,53.625,24.5988802735874,0.000150914921712884,"insects"
"2411",0.00011454753722795,1,NA,0.00011454753722795,"insects"
"2412",9.16730328495034e-05,1,0,9.16730328495034e-05,"insects"
"2413",0.00115461847389558,4.6,2.06397674405503,0.000251004016064257,"insects"
"2414",0.00156288156288156,8,6.01387285088957,0.000195360195360195,"insects"
"2415",0.00157878118092832,3.125,1.00778221853732,0.000505209977897064,"insects"
"2416",0.00108611326609775,1.4,0.221108319357027,0.000775795190069822,"insects"
"2417",0.000997506234413965,4.5,1.6583123951777,0.000221668052091992,"insects"
"2418",8.98472596585804e-05,2,NA,4.49236298292902e-05,"insects"
"2419",0.000175259237622316,1.5,0.5,0.000116839491748211,"insects"
"2420",0.00488922841864018,8,6.67083203206317,0.000611153552330023,"insects"
"2421",0.00223485591060576,2.71428571428571,0.730762345391562,0.000823367967065281,"insects"
"2422",0.00975809758097581,17,12.6445922941673,0.000574005740057401,"insects"
"2423",0.00250794212727899,24.4727272727273,14.9193308843709,0.000102479061664446,"insects"
"2425",0.00083925350609195,8.14285714285714,3.49231045857746,0.00010306622004638,"insects"
"2426",0.000202692920225858,1.4,0.4,0.000144780657304184,"insects"
"2427",5.3248136315229e-05,1,NA,5.3248136315229e-05,"insects"
"2428",6.00600600600601e-05,1,NA,6.00600600600601e-05,"insects"
"2429",4.00761446748823e-05,1,0,4.00761446748823e-05,"insects"
"2430",0.0109747626765455,14.8125,6.09727996049605,0.000740912248205603,"insects"
"2431",0.000673319706624985,5.6,4.35430821141545,0.000120235661897319,"insects"
"2432",0.00145374449339207,4.71428571428571,3.71428571428571,0.000308370044052863,"insects"
"2433",0.00248833592534992,12,5.13809303146605,0.000207361327112494,"insects"
"2434",0.000790678318768206,2.92307692307692,0.970471326552593,0.000270495214315439,"insects"
"2435",0.000474871388998813,6,NA,7.91452314998021e-05,"insects"
"2436",0.000645362756323514,2.81818181818182,0.736307517502421,0.000228999687727699,"insects"
"2437",7.61192997024427e-05,1.375,0.375,5.53594906926856e-05,"insects"
"2438",0.000358790363915941,1.75,0.478713553878169,0.000205023065094823,"insects"
"2439",0.000876411170528818,14.75,13.75,5.941770647653e-05,"insects"
"2440",0.00099290780141844,2.8,1.113552872566,0.000354609929078014,"insects"
"2441",0.0107085160396954,23.2,13.5661343056893,0.000461573967228248,"insects"
"2442",0.000516617874978474,2.14285714285714,0.828899770739486,0.000241088341656621,"insects"
"2443",0.000452563974576553,3.09090909090909,0.83201391021581,0.00014641775648065,"insects"
"2444",0.00064707468320302,1.33333333333333,0.235702260395516,0.000485306012402265,"insects"
"2445",0.00327627848367111,4.45714285714286,1.05904892892328,0.000735062480310826,"insects"
"2446",0.00349586016559338,6.12903225806452,1.64855227167307,0.000570377184912604,"insects"
"2447",0.000747663551401869,5.16666666666667,2.12785755580062,0.000144709074464878,"insects"
"2448",6.6711140760507e-05,1,NA,6.6711140760507e-05,"insects"
"2449",0.000177314211212516,2.125,0.515388203202208,8.34419817470665e-05,"insects"
"2450",0.000181529385069208,1,0,0.000181529385069208,"insects"
"2451",0.000282485875706215,1.66666666666667,0.421637021355784,0.000169491525423729,"insects"
"2452",0.000171274773672621,1.75,0.75,9.78712992414974e-05,"insects"
"2453",0.00050332192470304,4.16666666666667,2.45515331044271,0.00012079726192873,"insects"
"2454",0.000916198387490838,5.76923076923077,3.91275666177697,0.000158807720498412,"insects"
"2455",0.000519031141868512,2.57142857142857,1.41180638860701,0.000201845444059977,"insects"
"2456",0.00032078413900646,1.71428571428571,0.442626668137991,0.000187124081087102,"insects"
"2457",0.000749096293715431,2.26315789473684,0.374667629902302,0.000330996036757981,"insects"
"2458",0.000564476143254892,5.55,1.50296715080878,0.00010170741319908,"insects"
"2459",0.000258855585831063,3.16666666666667,1.60034718455437,8.17438692098093e-05,"insects"
"2460",3.37097589752233e-05,1.33333333333333,0.333333333333333,2.52823192314175e-05,"insects"
"2461",0.000891771382245642,6.875,4.1032978896771,0.000129712201053912,"insects"
"2462",0.0011533312738132,2.54545454545455,0.572558897808824,0.000453094428998043,"insects"
"2463",0.00014665828619317,2.33333333333333,0.881917103688197,6.28535512256442e-05,"insects"
"2464",0.000122046309794216,1.63636363636364,0.309625206653207,7.45838559853544e-05,"insects"
"2465",0.000348844611369279,5.95652173913043,3.33651392051299,5.85651537335286e-05,"insects"
"2466",0.000609379235565194,5.2037037037037,1.11648285190258,0.000117104906478721,"insects"
"2467",0.00128280972693589,9.80952380952381,7.19908031415225,0.000130771865367251,"insects"
"2468",0.00070298769771529,1.8,0.416333199893227,0.000390548720952939,"insects"
"2469",0.00110126885324395,2.55555555555556,0.580017028272808,0.000430931290399808,"insects"
"2470",9.94200497100249e-05,2,0.577350269189626,4.97100248550124e-05,"insects"
"2471",0.00583841021177836,17.5,13.277227971557,0.000333623440673049,"insects"
"2472",0.000528652992175936,2.5,0.727287679272138,0.000211461196870374,"insects"
"2473",0.000886917960088692,7.44444444444444,2.69133470571471,0.00011913823344475,"insects"
"2474",0.00848557692307692,25.2142857142857,18.160511009484,0.000336538461538462,"insects"
"2475",0.000593445527015058,3.52631578947368,1.61927068460322,0.00016829052258636,"insects"
"2476",0.00120980579433301,2.53333333333333,0.689144857719068,0.000477554918815664,"insects"
"2477",0.00138364779874214,3.05555555555556,0.773212559121457,0.000452830188679245,"insects"
"2478",0.0025588768115942,3.53125,0.978585606018427,0.00072463768115942,"insects"
"2479",0.00161243037232483,3.92857142857143,1.49528300718812,0.000410436822046321,"insects"
"2480",0.00386275846398546,3.03571428571429,0.90191175974892,0.00127243808225403,"insects"
"2481",0.00135667061566095,4.38271604938272,1.06972476863348,0.000309550196812779,"insects"
"2482",0.0234312344207218,9.91743119266055,4.10454461752113,0.00236263140782486,"insects"
"2483",0.0173095944609298,16.6666666666667,11.6321257389331,0.00103857566765579,"insects"
"2484",0.011956137247966,5.28125,2.05922118410836,0.00226388397594623,"insects"
"2485",0.00351418002466091,57,NA,6.1652281134402e-05,"insects"
"2486",2.50093785169439e-05,1,NA,2.50093785169439e-05,"insects"
"2487",4.8661800486618e-05,1,NA,4.8661800486618e-05,"insects"
"2488",8.41573742899221e-05,2,NA,4.20786871449611e-05,"insects"
"2489",0.000309119010819165,1.625,0.323899234771733,0.000190227083581025,"insects"
"2490",0.000335232986925914,1,0,0.000335232986925914,"insects"
"2491",0.000904977375565611,7,6,0.000129282482223659,"insects"
"2492",0.000491803278688525,4,2,0.000122950819672131,"insects"
"2493",0.000254204145482988,3.25,1.10867789130417,7.82166601486116e-05,"insects"
"2494",0.000383580288922572,5.63636363636364,3.12547517048565,6.80545673894887e-05,"insects"
"2495",0.0170098478066249,21.1111111111111,16.6845274667916,0.000805729632945389,"insects"
"2496",3.19539862597859e-05,1,NA,3.19539862597859e-05,"insects"
"2497",0.000128254456842375,1.25,0.25,0.0001026035654739,"insects"
"2498",0.00294755093194625,17,16,0.000173385348938015,"insects"
"2499",0.0107808445388063,24.0526315789474,12.9897561268543,0.000448218919556499,"insects"
