"CDUID","obs_totalpop","mean_obs_per_observer","stderror","observer_totalpop","taxa"
"2401",7.96812749003984e-05,1,NA,7.96812749003984e-05,"mammals"
"2402",0.000168255748738082,1.5,0.5,0.000112170499158721,"mammals"
"2403",0.00125570776255708,1.29411764705882,0.113911274888453,0.000970319634703196,"mammals"
"2404",0.00119555935098207,1.4,0.221108319357027,0.00085397096498719,"mammals"
"2405",0.000170988885722428,1.5,0.5,0.000113992590481619,"mammals"
"2406",6.76361176868448e-05,1,NA,6.76361176868448e-05,"mammals"
"2407",5.53097345132743e-05,1,NA,5.53097345132743e-05,"mammals"
"2408",4.69043151969981e-05,1,NA,4.69043151969981e-05,"mammals"
"2409",5.49450549450549e-05,1,NA,5.49450549450549e-05,"mammals"
"2410",0.000150914921712884,1.14285714285714,0.142857142857143,0.000132050556498774,"mammals"
"2411",0.00011454753722795,1,NA,0.00011454753722795,"mammals"
"2412",0.000152788388082506,1.66666666666667,0.666666666666667,9.16730328495034e-05,"mammals"
"2413",5.02008032128514e-05,1,NA,5.02008032128514e-05,"mammals"
"2414",0.000390720390720391,1.6,0.6,0.000244200244200244,"mammals"
"2415",0.00145247868645406,1.53333333333333,0.273716340251427,0.000947268708556994,"mammals"
"2416",0.000853374709076804,1.375,0.18298126367785,0.000620636152055857,"mammals"
"2417",0.000387919091160986,1.75,0.75,0.000221668052091992,"mammals"
"2418",4.49236298292902e-05,1,NA,4.49236298292902e-05,"mammals"
"2419",2.92098729370527e-05,1,NA,2.92098729370527e-05,"mammals"
"2420",0.000152788388082506,1,NA,0.000152788388082506,"mammals"
"2421",0.000980199960792001,1.78571428571429,0.394725825399161,0.000548911978043521,"mammals"
"2422",0.000847341806751401,2.06666666666667,0.564561917534436,0.000410004100041,"mammals"
"2423",0.00018632556666263,2.17391304347826,0.419689726463056,8.57097606648096e-05,"mammals"
"2425",8.83424743254684e-05,2.4,0.748331477354788,3.68093643022785e-05,"mammals"
"2426",2.89561314608368e-05,1,NA,2.89561314608368e-05,"mammals"
"2427",5.3248136315229e-05,1,NA,5.3248136315229e-05,"mammals"
"2428",6.00600600600601e-05,1,NA,6.00600600600601e-05,"mammals"
"2429",2.00380723374411e-05,1,NA,2.00380723374411e-05,"mammals"
"2430",0.00171335957397546,3.7,1.2387269450708,0.000463070155128502,"mammals"
"2431",0.000120235661897319,2.5,1.5,4.80942647589275e-05,"mammals"
"2432",4.40528634361234e-05,1,NA,4.40528634361234e-05,"mammals"
"2433",0.000172801105927078,1.66666666666667,0.666666666666667,0.000103680663556247,"mammals"
"2434",2.08073241781107e-05,1,NA,2.08073241781107e-05,"mammals"
"2435",7.91452314998021e-05,1,NA,7.91452314998021e-05,"mammals"
"2436",0.000208181534297908,1.66666666666667,0.666666666666667,0.000124908920578745,"mammals"
"2437",4.84395543560999e-05,1.75,0.478713553878169,2.76797453463428e-05,"mammals"
"2438",0.000102511532547412,1,0,0.000102511532547412,"mammals"
"2439",8.9126559714795e-05,1.5,0.5,5.941770647653e-05,"mammals"
"2440",7.09219858156028e-05,1,NA,7.09219858156028e-05,"mammals"
"2441",0.0012924071082391,7,3.67423461417477,0.000184629586891299,"mammals"
"2442",0.000309970724987085,1.125,0.125,0.000275529533321853,"mammals"
"2443",5.3242820538418e-05,1.14285714285714,0.142857142857143,4.65874679711158e-05,"mammals"
"2444",0.000215691561067673,1.33333333333333,0.333333333333333,0.000161768670800755,"mammals"
"2445",0.00126010710910427,2.4,0.472581562625261,0.000525044628793447,"mammals"
"2446",0.00169273229070837,4,1.17617992224241,0.000423183072677093,"mammals"
