"","iso2c","country","6.0.GDP_current","year"
"1","","Andean Region",NA,2014
"2","","Andean Region",NA,2013
"3","","Andean Region",NA,2012
"4","","Andean Region",NA,2011
"5","","Andean Region",NA,2010
"6","","Andean Region",NA,2009
"7","","Andean Region",NA,2008
"8","","Andean Region",NA,2007
"9","","Andean Region",NA,2006
"10","","Andean Region",NA,2005
"11","","Andean Region",NA,2004
"12","","Andean Region",NA,2003
"13","","Andean Region",NA,2002
"14","","Andean Region",NA,2001
"15","","Andean Region",NA,2000
"16","","Argentina",537659972702.092,2014
"17","","Argentina",614383517369.503,2013
"18","","Argentina",604378456915.58,2012
"19","","Argentina",557890203658.125,2011
"20","","Argentina",461640242696.171,2010
"21","","Argentina",376627876887.774,2009
"22","","Argentina",403781994527.786,2008
"23","","Argentina",329317513142.711,2007
"24","","Argentina",262666517346.674,2006
"25","","Argentina",220813784300.124,2005
"26","","Argentina",181873056796.968,2004
"27","","Argentina",127586251760.673,2003
"28","","Argentina",97724513456.4782,2002
"29","","Argentina",268696750000,2001
"30","","Argentina",284203750000,2000
"31","","Bolivia",32996187988.4226,2014
"32","","Bolivia",30659338929.0883,2013
"33","","Bolivia",27084497539.7974,2012
"34","","Bolivia",23963033443.8518,2011
"35","","Bolivia",19649631308.1648,2010
"36","","Bolivia",17339992165.2422,2009
"37","","Bolivia",16674324634.2373,2008
"38","","Bolivia",13120183156.7149,2007
"39","","Bolivia",11451869164.7112,2006
"40","","Bolivia",9549077869.1065,2005
"41","","Bolivia",8773451738.91129,2004
"42","","Bolivia",8082364868.39357,2003
"43","","Bolivia",7905485216.17852,2002
"44","","Bolivia",8141537937.61068,2001
"45","","Bolivia",8397912509.09679,2000
"46","","Brazil",2346076315118.55,2014
"47","","Brazil",2392082463707.62,2013
"48","","Brazil",2413135528134.76,2012
"49","","Brazil",2615234935437.59,2011
"50","","Brazil",2209433265120.51,2010
"51","","Brazil",1664586375912.77,2009
"52","","Brazil",1694585014723.52,2008
"53","","Brazil",1395938061732.83,2007
"54","","Brazil",1107802142233.26,2006
"55","","Brazil",892103187643.773,2005
"56","","Brazil",669642735042.735,2004
"57","","Brazil",559008449788.755,2003
"58","","Brazil",508779896959.978,2002
"59","","Brazil",559611852733.611,2001
"60","","Brazil",657216179283.957,2000
"61","","Central America",NA,2014
"62","","Central America",NA,2013
"63","","Central America",NA,2012
"64","","Central America",NA,2011
"65","","Central America",NA,2010
"66","","Central America",NA,2009
"67","","Central America",NA,2008
"68","","Central America",NA,2007
"69","","Central America",NA,2006
"70","","Central America",NA,2005
"71","","Central America",NA,2004
"72","","Central America",NA,2003
"73","","Central America",NA,2002
"74","","Central America",NA,2001
"75","","Central America",NA,2000
"76","","Chile",258061522886.53,2014
"77","","Chile",276673695234.341,2013
"78","","Chile",265231582107.399,2012
"79","","Chile",250832362663.665,2011
"80","","Chile",217538271334.738,2010
"81","","Chile",171956955710.4,2009
"82","","Chile",179626674542.474,2008
"83","","Chile",173081277147.793,2007
"84","","Chile",154671012210.645,2006
"85","","Chile",124404150138.227,2005
"86","","Chile",100630707851.787,2004
"87","","Chile",77840186384.8713,2003
"88","","Chile",70984568428.6004,2002
"89","","Chile",72336972322.4242,2001
"90","","Chile",79328640263.7676,2000
"91","","Colombia",377739622865.838,2014
"92","","Colombia",380063456192.64,2013
"93","","Colombia",369659700375.52,2012
"94","","Colombia",335415156702.186,2011
"95","","Colombia",287018184637.529,2010
"96","","Colombia",233821670544.258,2009
"97","","Colombia",243982437870.84,2008
"98","","Colombia",207416494642.379,2007
"99","","Colombia",162590146096.414,2006
"100","","Colombia",146566266310.57,2005
"101","","Colombia",117074865515.279,2004
"102","","Colombia",94684582573.3167,2003
"103","","Colombia",97933392356.4253,2002
"104","","Colombia",98203544965.2678,2001
"105","","Colombia",99886577575.5444,2000
"106","","Costa Rica",49552580683.1461,2014
"107","","Costa Rica",49236710394.4487,2013
"108","","Costa Rica",45300669857.48,2012
"109","","Costa Rica",41237293551.3474,2011
"110","","Costa Rica",36298327620.1953,2010
"111","","Costa Rica",29382694860.8539,2009
"112","","Costa Rica",29837895769.0591,2008
"113","","Costa Rica",26322000105.2344,2007
"114","","Costa Rica",22526463618.6989,2006
"115","","Costa Rica",19964925502.6464,2005
"116","","Costa Rica",18596365926.995,2004
"117","","Costa Rica",17517536016.3339,2003
"118","","Costa Rica",16844378578.178,2002
"119","","Costa Rica",16403602943.4123,2001
"120","","Costa Rica",15946443103.2804,2000
"121","","Dominican Republic",64137819040.4929,2014
"122","","Dominican Republic",61366326096.194,2013
"123","","Dominican Republic",60595109805.116,2012
"124","","Dominican Republic",58361928551.8316,2011
"125","","Dominican Republic",53864484468.1226,2010
"126","","Dominican Republic",48193458082.8274,2009
"127","","Dominican Republic",48152993002.9889,2008
"128","","Dominican Republic",44073886687.2362,2007
"129","","Dominican Republic",35952890849.4479,2006
"130","","Dominican Republic",34004081037.3447,2005
"131","","Dominican Republic",22039210346.1297,2004
"132","","Dominican Republic",21277171990.4067,2003
"133","","Dominican Republic",26571659051.2134,2002
"134","","Dominican Republic",24892595798.7246,2001
"135","","Dominican Republic",23996100575.4896,2000
"136","","Ecuador",100917372000,2014
"137","","Ecuador",94776170000,2013
"138","","Ecuador",87924544000,2012
"139","","Ecuador",79276664000,2011
"140","","Ecuador",69555367000,2010
"141","","Ecuador",62519686000,2009
"142","","Ecuador",61762635000,2008
"143","","Ecuador",51007777000,2007
"144","","Ecuador",46802044000,2006
"145","","Ecuador",41507085000,2005
"146","","Ecuador",36591661000,2004
"147","","Ecuador",32432859000,2003
"148","","Ecuador",28548945000,2002
"149","","Ecuador",24468324000,2001
"150","","Ecuador",18327764882.4412,2000
"151","","El Salvador",25163700000,2014
"152","","El Salvador",24350900000,2013
"153","","El Salvador",23813600000,2012
"154","","El Salvador",2.3139e+10,2011
"155","","El Salvador",21418300000,2010
"156","","El Salvador",2.0661e+10,2009
"157","","El Salvador",2.1431e+10,2008
"158","","El Salvador",20104900000,2007
"159","","El Salvador",18550700000,2006
"160","","El Salvador",17093800000,2005
"161","","El Salvador",15798300000,2004
"162","","El Salvador",15046700000,2003
"163","","El Salvador",14306700000,2002
"164","","El Salvador",13812700000,2001
"165","","El Salvador",13134100000,2000
"166","","Guatemala",58827085046.9465,2014
"167","","Guatemala",53851148431.9321,2013
"168","","Guatemala",50388460222.6307,2012
"169","","Guatemala",47654787037.2749,2011
"170","","Guatemala",41338008265.2833,2010
"171","","Guatemala",37733609953.9306,2009
"172","","Guatemala",39136436507.9365,2008
"173","","Guatemala",34113107919.6695,2007
"174","","Guatemala",30231249704.0486,2006
"175","","Guatemala",27211376360.7068,2005
"176","","Guatemala",23965275026.7413,2004
"177","","Guatemala",21917430517.9514,2003
"178","","Guatemala",20776403595.1264,2002
"179","","Guatemala",18702803043.7991,2001
"180","","Guatemala",19290566570.0483,2000
"181","","Honduras",19385314718.4098,2014
"182","","Honduras",18496438641.4768,2013
"183","","Honduras",18528601901.324,2012
"184","","Honduras",17710315005.9999,2011
"185","","Honduras",15839344591.9842,2010
"186","","Honduras",14587496229.1811,2009
"187","","Honduras",13789715132.502,2008
"188","","Honduras",12275501784.2971,2007
"189","","Honduras",10841742347.7968,2006
"190","","Honduras",9672035709.39793,2005
"191","","Honduras",8772194250.27021,2004
"192","","Honduras",8140271080.5604,2003
