"","scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"1","Semotilus corporalis","2018-01-20 09:40:00 -0500",NA,"Canada",45.0447310915,-72.3997209959,NA,"Fallfish","https://www.inaturalist.org/observations/9608135","https://static.inaturalist.org/photos/13109357/medium.jpg?1516855692","bradleyfishes",9608135,"Fallfish","Actinopterygii",112459,"false",3,0,"2018/01/20 9:40 AM EST","2018-01-20","2018-01-20 14:40:00 UTC","Eastern Time (US & Canada)",15,"Austin, QC, Canada","obscured",NA,"true",NA,NA,"true",641347,"2018-01-25 04:50:03 UTC","2018-02-03 19:40:25 UTC","research","CC-BY-NC",NA,NA,"false"
"2","Salvelinus namaycush","2018-02-23 12:23:51 -0500","","Moosehead Lake, Greenville Junction, ME, US",45.7015383333,-69.7834916667,NA,"Lake Trout","https://www.inaturalist.org/observations/15881385","https://static.inaturalist.org/photos/23749675/medium.jpg?1535221359","jesse122",15881385,"Lake Trout","Actinopterygii",111991,"false",2,0,"Fri Feb 23 2018 12:23:51 GMT-0500 (EST)","2018-02-23","2018-02-23 17:23:51 UTC","Eastern Time (US & Canada)",5,"",NA,"","false","","","false",1162131,"2018-08-25 18:22:34 UTC","2018-08-25 21:09:41 UTC","research","",NA,3,"false"
"3","Salmo trutta","2018-02-21 15:20:06 -0500","13” Brown Trout Released","119 Anderson Rd, Sangerville, ME, US",45.1221861667,-69.3118833333,NA,"Brown Trout","https://www.inaturalist.org/observations/11877575","https://static.inaturalist.org/photos/17001805/medium.jpg?1525098171","essasio",11877575,"Brown Trout","Actinopterygii",47518,"false",2,0,"Wed Feb 21 2018 15:20:06 GMT-0500 (EST)","2018-02-21","2018-02-21 20:20:06 UTC","Eastern Time (US & Canada)",175,"",NA,"","false","","","",923584,"2018-04-30 14:22:49 UTC","2018-05-20 03:09:55 UTC","research","",NA,3,"false"
"4","Sebastes fasciatus","2018-02-17 12:52:01 -0500","","Le Fjord-du-Saguenay, CA-QC, CA",48.3799826395,-70.9250884093,NA,"Acadian Rockfish","https://www.inaturalist.org/observations/9923946","https://static.inaturalist.org/photos/13615580/medium.jpeg?1519072450","bradleyfishes",9923946,"Sebastes fasciatus","Actinopterygii",112417,"false",1,0,"2018-02-17 12:52:01 PM EST","2018-02-17","2018-02-17 17:52:01 UTC","Eastern Time (US & Canada)",2752,"653 Route de l'Anse à Benjamin, La Baie, QC G0V, Canada",NA,"obscured","true","gps","gps","",641347,"2018-02-19 20:33:54 UTC","2018-03-02 06:18:06 UTC","research","CC-BY-NC",NA,2,"false"
"5","Lepomis gibbosus","2018-02-17 13:14:51 -0500","","La Prairie, La Prairie, QC, CA",45.4066965878,-73.4506111081,NA,"Pumpkinseed","https://www.inaturalist.org/observations/9898437","https://static.inaturalist.org/photos/13572112/medium.jpg?1518909471","alexislifers",9898437,"Pumpkinseed","Actinopterygii",49614,"false",2,0,"Sat Feb 17 2018 13:14:51 GMT-0500 (GMT-5)","2018-02-17","2018-02-17 18:14:51 UTC","Bogota",1901,"",NA,"","false","","","true",757801,"2018-02-17 23:17:48 UTC","2018-03-21 01:24:26 UTC","research","CC-BY-NC",NA,3,"false"
"6","Perca flavescens","2018-02-17 13:23:12 -0500","","La Prairie, La Prairie, QC, CA",45.4098819266,-73.4501652827,NA,"Yellow Perch","https://www.inaturalist.org/observations/9898395","https://static.inaturalist.org/photos/13572015/medium.jpg?1518909198","alexislifers",9898395,"Yellow Perch","Actinopterygii",58627,"false",3,0,"Sat Feb 17 2018 13:23:12 GMT-0500 (GMT-5)","2018-02-17","2018-02-17 18:23:12 UTC","Bogota",152,"",NA,"open","false","","","true",757801,"2018-02-17 23:13:15 UTC","2019-02-28 20:20:40 UTC","research","CC-BY-NC",NA,3,"false"
"7","Perca flavescens","2018-02-14 12:57:00 -0500","","Missisquoi Bay, Venise-en-Québec, QC, CA",45.0731878677,-73.1476608243,NA,"Yellow Perch","https://www.inaturalist.org/observations/9861278","https://static.inaturalist.org/photos/13509472/medium.jpg?1518646629","alexislifers",9861278,"Yellow Perch","Actinopterygii",58627,"false",1,0,"Wed Feb 14 2018 12:57:00 GMT-0500 (GMT-5)","2018-02-14","2018-02-14 17:57:00 UTC","Bogota",1295,"",NA,"","false","","","true",757801,"2018-02-14 22:17:06 UTC","2018-02-15 00:11:11 UTC","research","CC-BY-NC",NA,3,"false"
"8","Ambloplites rupestris","2018-02-14 14:35:14 -0500","","Missisquoi Bay, Venise-en-Québec, QC, CA",45.0778728782,-73.1474096802,NA,"Rock Bass","https://www.inaturalist.org/observations/9861232","https://static.inaturalist.org/photos/13509412/medium.jpg?1518646344","alexislifers",9861232,"Rock Bass","Actinopterygii",58637,"false",1,0,"Wed Feb 14 2018 14:35:14 GMT-0500 (GMT-5)","2018-02-14","2018-02-14 19:35:14 UTC","Bogota",225,"",NA,"","false","","","true",757801,"2018-02-14 22:12:20 UTC","2018-02-15 00:10:54 UTC","research","CC-BY-NC",NA,3,"false"
"9","Micropterus salmoides","2018-02-11 15:22:38 -0500","","La Prairie, La Prairie, QC, CA",45.4087850427,-73.4505794141,NA,"Largemouth Bass","https://www.inaturalist.org/observations/9826653","https://static.inaturalist.org/photos/13453366/medium.jpg?1518384571","alexislifers",9826653,"Largemouth Bass","Actinopterygii",49587,"false",1,0,"Sun Feb 11 2018 15:22:38 GMT-0500 (GMT-5)","2018-02-11","2018-02-11 20:22:38 UTC","Bogota",266,"",NA,"","false","","","true",757801,"2018-02-11 21:29:25 UTC","2018-03-21 01:33:07 UTC","research","CC-BY-NC",NA,3,"false"
"10","Perca flavescens","2018-02-11 14:11:23 -0500","","La Prairie, La Prairie, QC, CA",45.4092553463,-73.4504185174,NA,"Yellow Perch","https://www.inaturalist.org/observations/9826621","https://static.inaturalist.org/photos/13453350/medium.jpg?1518384500","alexislifers",9826621,"Yellow Perch","Actinopterygii",58627,"false",2,0,"Sun Feb 11 2018 14:11:23 GMT-0500 (GMT-5)","2018-02-11","2018-02-11 19:11:23 UTC","Bogota",98,"",NA,"open","false","","","true",757801,"2018-02-11 21:28:15 UTC","2019-02-28 20:20:33 UTC","research","CC-BY-NC",NA,3,"false"
