"","scientific_name","datetime","description","place_guess","latitude","longitude","tag_list","common_name","url","image_url","user_login","id","species_guess","iconic_taxon_name","taxon_id","id_please","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","time_observed_at","time_zone","positional_accuracy","private_place_guess","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","out_of_range","user_id","created_at","updated_at","quality_grade","license","sound_url","oauth_application_id","captive_cultivated"
"1","Exobasidium vaccinii-uliginosi","2016-01-29 23:19:00 -0500","Localized on Vaccinium uliginosum.","Kangiqsualujjuaq, QC, Canada",58.70908,-65.9626,NA,"","https://www.inaturalist.org/observations/10441345","https://static.inaturalist.org/photos/14510328/medium.jpeg?1522112299","elbourret",10441345,"Exobasidium vaccinii-uliginosi","Fungi",552378,"false",0,0,"2016/01/29 11:19 PM EST","2016-01-29","2016-01-30 04:19:00 UTC","Eastern Time (US & Canada)",NA,"","",NA,"false",NA,NA,NA,757198,"2018-03-27 01:07:00 UTC","2018-03-27 01:07:00 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"2","Exobasidium vaccinii","2016-01-29 23:07:00 -0500","Localized on Vaccinium vitis-idaea.","Kangiqsualujjuaq, QC, Canada",58.70908,-65.9626,NA,"Cowberry redleaf","https://www.inaturalist.org/observations/10441344","https://static.inaturalist.org/photos/14510296/medium.jpeg?1522112227","elbourret",10441344,"Exobasidium vaccinii","Fungi",130020,"false",0,0,"2016/01/29 11:07 PM EST","2016-01-29","2016-01-30 04:07:00 UTC","Eastern Time (US & Canada)",NA,"","",NA,"false",NA,NA,NA,757198,"2018-03-27 01:07:00 UTC","2018-03-27 01:07:00 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"3","Exobasidium splendidum","2016-01-29 23:08:00 -0500","Localized on Vaccinium vitis-idaea.","Kangiqsualujjuaq, QC, Canada",58.70908,-65.9626,NA,"","https://www.inaturalist.org/observations/10441340","https://static.inaturalist.org/photos/14509991/medium.jpeg?1522111555","elbourret",10441340,"Exobasidium splendidum","Fungi",556859,"false",0,0,"2016/01/29 11:08 PM EST","2016-01-29","2016-01-30 04:08:00 UTC","Eastern Time (US & Canada)",NA,"","",NA,"false",NA,NA,NA,757198,"2018-03-27 01:06:58 UTC","2018-03-27 01:06:59 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"4","Exobasidium karstenii","2016-01-29 21:27:00 -0500","Localized on Andromeda xjamesiana.","Kuujjuaq, QC, Canada",58.14787,-68.33658,NA,"","https://www.inaturalist.org/observations/10441338","https://static.inaturalist.org/photos/14509880/medium.jpeg?1522111299","elbourret",10441338,"Exobasidium karstenii","Fungi",553681,"false",0,0,"2016/01/29 9:27 PM EST","2016-01-29","2016-01-30 02:27:00 UTC","Eastern Time (US & Canada)",NA,"","",NA,"false",NA,NA,NA,757198,"2018-03-27 01:06:57 UTC","2018-03-27 01:06:58 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"5","Exobasidium karstenii","2016-01-29 18:43:00 -0500","Localized on Andromeda glaucophylla.","Kuujjuaq, QC, Canada",58.14647,-68.40117,NA,"","https://www.inaturalist.org/observations/10441337","https://static.inaturalist.org/photos/14509857/medium.jpeg?1522111243","elbourret",10441337,"Exobasidium karstenii","Fungi",553681,"false",0,0,"2016/01/29 6:43 PM EST","2016-01-29","2016-01-29 23:43:00 UTC","Eastern Time (US & Canada)",NA,"","",NA,"false",NA,NA,NA,757198,"2018-03-27 01:06:57 UTC","2018-03-27 01:06:57 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"6","Exobasidium juelianum","2016-01-29 22:14:00 -0500","Systemic on Vaccinium vitis-idaea.","Kuujjuaq, QC, Canada",58.14582,-68.40246,NA,"","https://www.inaturalist.org/observations/10441335","https://static.inaturalist.org/photos/14509671/medium.jpeg?1522110959","elbourret",10441335,"Exobasidium juelianum","Fungi",556860,"false",0,0,"2016/01/29 10:14 PM EST","2016-01-29","2016-01-30 03:14:00 UTC","Eastern Time (US & Canada)",NA,"","",NA,"false",NA,NA,NA,757198,"2018-03-27 01:06:55 UTC","2018-03-27 01:06:56 UTC","needs_id","CC-BY-NC",NA,NA,"false"
"7","Platismatia tuckermanii","2016-01-09 12:28:00 -0500","","Truro, NS, Canada",45.3559224897,-63.2728385939,NA,"Crumpled Rag Lichen","https://www.inaturalist.org/observations/8892150","https://static.inaturalist.org/photos/11963099/medium.jpeg?1511317384","cchapman",8892150,"Crumpled Rag Lichen","Fungi",182657,"false",2,0,"2016/01/09 12:28 PM EST","2016-01-09","2016-01-09 17:28:00 UTC","Eastern Time (US & Canada)",109,"","",NA,"false",NA,NA,NA,108009,"2017-11-22 02:24:45 UTC","2017-12-08 20:24:29 UTC","research","CC-BY-NC",NA,NA,"false"
"8","Parmelia squarrosa","2016-01-24 12:20:00 -0500","","Truro, NS, Canada",45.3508031668,-63.2620668408,NA,"Bottlebrush Shield Lichen","https://www.inaturalist.org/observations/8811026","https://static.inaturalist.org/photos/11834285/medium.jpeg?1510706936","cchapman",8811026,"Bottlebrush Shield Lichen","Fungi",125728,"false",1,0,"2016/01/24 12:20 PM EST","2016-01-24","2016-01-24 17:20:00 UTC","Eastern Time (US & Canada)",224,"","",NA,"false",NA,NA,NA,108009,"2017-11-15 00:49:57 UTC","2017-12-08 20:24:15 UTC","research","CC-BY-NC",NA,NA,"false"
"9","Icmadophila ericetorum","2016-01-09 12:41:00 -0500","","Truro, NS, Canada",45.3521452459,-63.2688903809,NA,"Candy Lichen","https://www.inaturalist.org/observations/8745891","https://static.inaturalist.org/photos/11739943/medium.jpeg?1510275254","cchapman",8745891,"Candy Lichen","Fungi",119695,"false",2,0,"2016/01/09 12:41 PM EST","2016-01-09","2016-01-09 17:41:00 UTC","Eastern Time (US & Canada)",977,"","",NA,"false",NA,NA,NA,108009,"2017-11-10 00:55:06 UTC","2017-12-08 20:24:00 UTC","research","CC-BY-NC",NA,NA,"false"
"10","Usnea strigosa","2016-01-09 11:57:00 -0500","","Truro, NS, Canada",45.3586591384,-63.2725381894,NA,"Bushy beard lichen","https://www.inaturalist.org/observations/8745855","https://static.inaturalist.org/photos/11739755/medium.jpeg?1510274511","cchapman",8745855,"Bushy beard lichen","Fungi",121176,"false",2,0,"2016/01/09 11:57 AM EST","2016-01-09","2016-01-09 16:57:00 UTC","Eastern Time (US & Canada)",61,"","",NA,"false",NA,NA,NA,108009,"2017-11-10 00:50:24 UTC","2017-12-08 20:23:59 UTC","research","CC-BY-NC",NA,NA,"false"
